               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086766,            0.030041,            0.043317,           0.0020893,            0.014219,          0.00084647,          0.00014972,            0.057916,             0.01884,            0.029031,           0.0033195,           0.0033195,            0.070124
                   1,            0.078275,            0.029511,             0.04145,            0.010432,            0.043911,           0.0043272,          0.00086936,             0.05288,            0.019518,            0.028144,            0.006587,            0.006587,            0.040059
                   2,            0.075065,            0.029923,            0.041364,            0.032601,            0.082339,            0.010425,           0.0026731,            0.052999,            0.018736,            0.027942,           0.0097884,           0.0097884,           0.0099268
                   3,            0.071954,            0.027552,            0.041212,            0.054721,            0.090883,            0.012832,           0.0029723,             0.06732,            0.015631,            0.031029,            0.009703,            0.009703,            0.009703
                   4,            0.064953,            0.025702,            0.040873,             0.15104,             0.25742,             0.08873,            0.021563,            0.049622,            0.014331,            0.028022,            0.009703,            0.009703,            0.009703
                   5,            0.060965,            0.023689,             0.04042,              0.2121,             0.36826,             0.18346,            0.077856,            0.041555,             0.01354,            0.027219,            0.009604,            0.009604,            0.009604
                   6,            0.055891,            0.022509,            0.039953,             0.33756,             0.37683,             0.26173,             0.11834,            0.033811,            0.013846,             0.02627,            0.009505,            0.009505,            0.009505
                   7,            0.052772,            0.022459,            0.039105,             0.33403,             0.57689,             0.37273,             0.18764,            0.029929,            0.011771,            0.024957,            0.009406,            0.009406,            0.009406
                   8,            0.050632,            0.020576,            0.038457,             0.52249,             0.36085,             0.31646,             0.14527,            0.035177,            0.015953,            0.025627,            0.009307,            0.009307,            0.009307
                   9,            0.049319,            0.019613,            0.036839,             0.41533,             0.53446,             0.38351,             0.19271,            0.029394,            0.011664,            0.022735,            0.009208,            0.009208,            0.009208
                  10,            0.047682,            0.019132,            0.036435,             0.43486,             0.50741,             0.38915,             0.20524,            0.030088,            0.011718,            0.024614,            0.009109,            0.009109,            0.009109
                  11,             0.04666,            0.018606,            0.036027,             0.53429,             0.62606,              0.4886,             0.27454,            0.025392,            0.010471,            0.021222,             0.00901,             0.00901,             0.00901
                  12,            0.045774,            0.017954,            0.035203,             0.53659,             0.69795,             0.56477,             0.32933,            0.023842,           0.0091909,            0.019833,            0.008911,            0.008911,            0.008911
                  13,             0.04413,             0.01744,            0.034281,             0.56245,             0.71643,              0.5803,             0.35008,             0.02264,           0.0089403,            0.018355,            0.008812,            0.008812,            0.008812
                  14,            0.043551,            0.017249,             0.03366,             0.56419,             0.65759,             0.58068,             0.36354,            0.021577,           0.0086701,            0.018042,            0.008713,            0.008713,            0.008713
                  15,            0.043262,            0.016899,            0.033168,             0.59525,             0.72584,             0.59943,             0.35405,            0.022029,           0.0087036,            0.017424,            0.008614,            0.008614,            0.008614
                  16,            0.044008,            0.016541,            0.032505,             0.58876,             0.73681,             0.63846,             0.38491,            0.021031,           0.0082872,            0.016754,            0.008515,            0.008515,            0.008515
                  17,            0.042386,            0.016493,              0.0317,             0.59303,             0.69791,             0.61317,             0.37736,            0.020634,           0.0082286,             0.01844,            0.008416,            0.008416,            0.008416
                  18,            0.040152,            0.015698,            0.030819,             0.62624,             0.70832,             0.64926,             0.39829,             0.02078,            0.007904,            0.016479,            0.008317,            0.008317,            0.008317
                  19,            0.040328,            0.015207,            0.030793,             0.60841,             0.73472,             0.64278,             0.38746,            0.020995,           0.0083258,            0.016423,            0.008218,            0.008218,            0.008218
                  20,              0.0393,            0.015205,            0.029745,             0.56977,             0.68883,             0.57905,               0.371,            0.021111,            0.009607,            0.020807,            0.008119,            0.008119,            0.008119
                  21,            0.039152,            0.015188,            0.029858,             0.64232,             0.75401,             0.68281,              0.4399,            0.018294,           0.0074437,             0.01508,             0.00802,             0.00802,             0.00802
                  22,            0.038924,             0.01473,            0.029217,             0.67463,             0.77751,             0.73506,             0.46073,            0.019183,           0.0072538,            0.014187,            0.007921,            0.007921,            0.007921
                  23,            0.038149,            0.014978,            0.029129,             0.72117,             0.75527,             0.75174,             0.49793,             0.01836,           0.0071567,            0.013692,            0.007822,            0.007822,            0.007822
                  24,            0.037606,            0.014611,            0.029177,             0.60258,             0.83381,              0.7016,             0.46159,            0.018317,           0.0073291,            0.014512,            0.007723,            0.007723,            0.007723
                  25,            0.037188,            0.014623,            0.027964,             0.64208,             0.76524,             0.73766,             0.51588,            0.017686,           0.0074482,            0.014001,            0.007624,            0.007624,            0.007624
                  26,            0.037385,             0.01425,            0.028018,             0.74006,             0.75791,             0.78446,             0.54645,            0.016905,           0.0068278,            0.012397,            0.007525,            0.007525,            0.007525
                  27,            0.036972,             0.01406,            0.027785,             0.65044,             0.68755,             0.71434,             0.48657,            0.017686,           0.0076229,            0.015566,            0.007426,            0.007426,            0.007426
                  28,            0.036908,            0.014222,            0.027344,             0.72054,             0.79343,             0.79712,             0.55823,            0.016559,           0.0066196,            0.012106,            0.007327,            0.007327,            0.007327
                  29,            0.036142,            0.013685,            0.026422,             0.76149,             0.75983,             0.80034,             0.56241,            0.016269,           0.0064624,            0.011534,            0.007228,            0.007228,            0.007228
                  30,            0.035587,            0.013766,             0.02606,              0.7666,             0.77644,             0.81073,             0.57483,            0.016427,           0.0066395,            0.012195,            0.007129,            0.007129,            0.007129
                  31,            0.035604,            0.013687,            0.026581,             0.75626,             0.78865,             0.81846,              0.5885,            0.015326,           0.0061791,               0.011,             0.00703,             0.00703,             0.00703
                  32,            0.034767,            0.013274,            0.025693,             0.75962,             0.77945,             0.81313,             0.58889,            0.015508,           0.0062385,            0.011782,            0.006931,            0.006931,            0.006931
                  33,            0.034344,            0.013418,            0.024662,             0.75488,             0.78326,             0.82472,             0.59238,            0.015794,           0.0061884,            0.010448,            0.006832,            0.006832,            0.006832
                  34,            0.033814,             0.01309,            0.024829,             0.62544,             0.66423,             0.72206,             0.49286,            0.017842,           0.0094741,            0.015648,            0.006733,            0.006733,            0.006733
                  35,             0.03382,            0.013352,            0.024401,             0.75696,             0.83544,             0.85341,             0.62349,            0.015687,           0.0060522,           0.0099328,            0.006634,            0.006634,            0.006634
                  36,            0.033399,            0.013082,             0.02453,             0.76304,             0.85957,             0.87899,             0.63755,            0.015099,           0.0060831,           0.0087464,            0.006535,            0.006535,            0.006535
                  37,            0.033961,            0.012967,            0.024036,             0.74237,             0.80806,             0.84066,             0.60158,            0.015371,           0.0060988,            0.011444,            0.006436,            0.006436,            0.006436
                  38,            0.032695,             0.01298,            0.024561,             0.75818,             0.73642,             0.81775,             0.58211,            0.015086,           0.0065046,            0.010474,            0.006337,            0.006337,            0.006337
                  39,            0.032451,            0.012749,            0.023917,             0.80117,             0.80649,             0.87108,             0.64348,            0.014277,           0.0057248,           0.0098688,            0.006238,            0.006238,            0.006238
                  40,            0.032398,            0.012474,            0.023509,             0.80471,             0.82543,             0.88348,             0.66083,            0.014231,           0.0058711,           0.0086755,            0.006139,            0.006139,            0.006139
                  41,            0.032065,            0.012709,            0.023389,             0.79527,             0.85881,             0.87813,             0.65656,            0.014192,           0.0057785,           0.0083163,             0.00604,             0.00604,             0.00604
                  42,            0.032086,            0.012422,            0.023337,              0.8198,             0.81858,             0.88422,             0.66242,            0.014154,           0.0057696,           0.0088541,            0.005941,            0.005941,            0.005941
                  43,            0.031411,            0.012268,            0.023358,             0.82488,             0.77972,             0.86709,             0.64494,            0.014145,           0.0059314,           0.0096775,            0.005842,            0.005842,            0.005842
                  44,            0.031509,            0.012243,            0.022362,             0.86544,             0.82479,             0.90556,             0.69489,            0.013497,           0.0055452,           0.0075239,            0.005743,            0.005743,            0.005743
                  45,            0.031685,            0.012057,            0.022156,             0.81937,             0.81969,             0.88026,              0.6773,            0.013404,           0.0056073,           0.0086256,            0.005644,            0.005644,            0.005644
                  46,            0.031023,            0.011952,            0.022361,             0.85162,             0.81019,             0.90491,             0.69846,            0.013424,           0.0055173,           0.0078273,            0.005545,            0.005545,            0.005545
                  47,            0.030944,            0.011784,            0.020984,             0.84919,             0.83412,             0.90479,             0.67732,            0.013404,           0.0056284,           0.0080744,            0.005446,            0.005446,            0.005446
                  48,            0.031102,            0.011757,            0.022206,             0.85649,             0.85489,             0.91416,             0.70061,            0.013199,           0.0056204,            0.007281,            0.005347,            0.005347,            0.005347
                  49,            0.030105,            0.011859,            0.021626,             0.82332,             0.82351,             0.89816,             0.68483,            0.013455,           0.0058257,           0.0085949,            0.005248,            0.005248,            0.005248
                  50,            0.030523,            0.011804,            0.021111,             0.86615,             0.84779,             0.92113,             0.70899,            0.012995,           0.0052783,           0.0071833,            0.005149,            0.005149,            0.005149
                  51,            0.029567,            0.011884,            0.020784,             0.82857,             0.86856,             0.90405,             0.70524,            0.012821,            0.005329,            0.007364,             0.00505,             0.00505,             0.00505
